epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,84.615,1.69936,1.32772,1.46616,0.53454,0.52632,0.51206,0.24907,1.79544,2.05543,1.60707,0.00398525,0.00398525,0.00398525
43,86.5175,1.73928,1.33949,1.47687,0.49843,0.46316,0.48087,0.21118,2.02212,1.79446,1.78302,0.0039605,0.0039605,0.0039605
44,88.003,1.77111,1.36953,1.50339,0.55055,0.48421,0.50567,0.21271,2.02326,1.8165,1.77606,0.00393575,0.00393575,0.00393575
45,89.3512,1.7424,1.34315,1.48132,0.55055,0.48421,0.50567,0.21271,2.02326,1.8165,1.77606,0.003911,0.003911,0.003911
46,91.1316,1.71587,1.3597,1.49619,0.63058,0.47895,0.52871,0.24904,1.91744,1.93369,1.69077,0.00388625,0.00388625,0.00388625
47,92.5468,1.72456,1.31479,1.46319,0.5927,0.47895,0.52032,0.2474,1.87197,1.92729,1.63381,0.0038615,0.0038615,0.0038615
48,94.4067,1.69108,1.30673,1.44826,0.5927,0.47895,0.52032,0.2474,1.87197,1.92729,1.63381,0.00383675,0.00383675,0.00383675
49,97.1874,1.75386,1.32451,1.46591,0.60156,0.44211,0.48653,0.2276,1.92428,1.78627,1.66098,0.003812,0.003812,0.003812
50,98.7083,1.73613,1.38362,1.55584,0.60156,0.44211,0.48653,0.2276,1.92428,1.78627,1.66098,0.00378725,0.00378725,0.00378725
51,100.468,1.76803,1.30803,1.48435,0.59069,0.43158,0.49254,0.23143,1.86104,1.70998,1.62918,0.0037625,0.0037625,0.0037625
52,102.108,1.70067,1.27142,1.46735,0.54093,0.52632,0.52583,0.26367,1.74768,1.60546,1.53743,0.00373775,0.00373775,0.00373775
53,103.543,1.62092,1.24738,1.42004,0.54093,0.52632,0.52583,0.26367,1.74768,1.60546,1.53743,0.003713,0.003713,0.003713
54,105.19,1.61362,1.26167,1.43763,0.60766,0.5,0.54694,0.26595,1.80581,1.50466,1.53724,0.00368825,0.00368825,0.00368825
55,106.611,1.63406,1.31751,1.4435,0.62726,0.40743,0.48636,0.22603,1.89158,1.57404,1.62076,0.0036635,0.0036635,0.0036635
56,108.473,1.61279,1.27971,1.44839,0.62726,0.40743,0.48636,0.22603,1.89158,1.57404,1.62076,0.00363875,0.00363875,0.00363875
57,111.027,1.60142,1.25028,1.40925,0.65836,0.41584,0.5353,0.27276,1.80948,1.46525,1.53864,0.003614,0.003614,0.003614
58,112.695,1.65299,1.27166,1.45851,0.65836,0.41584,0.5353,0.27276,1.80948,1.46525,1.53864,0.00358925,0.00358925,0.00358925
59,114.159,1.63163,1.26137,1.39801,0.58205,0.56842,0.58284,0.28505,1.84985,1.40249,1.55998,0.0035645,0.0035645,0.0035645
60,115.692,1.59449,1.22269,1.36188,0.62737,0.54941,0.59161,0.28469,1.86042,1.41942,1.57591,0.00353975,0.00353975,0.00353975
61,117.275,1.60364,1.21625,1.38746,0.62737,0.54941,0.59161,0.28469,1.86042,1.41942,1.57591,0.003515,0.003515,0.003515
62,118.772,1.5918,1.23038,1.42183,0.65315,0.55789,0.62081,0.31159,1.75818,1.40388,1.51645,0.00349025,0.00349025,0.00349025
63,120.39,1.51947,1.20229,1.39566,0.60277,0.54211,0.57715,0.28932,1.80663,1.39525,1.54363,0.0034655,0.0034655,0.0034655
64,121.987,1.56041,1.20097,1.37412,0.60277,0.54211,0.57715,0.28932,1.80663,1.39525,1.54363,0.00344075,0.00344075,0.00344075
65,124.346,1.53015,1.21392,1.39187,0.60885,0.5,0.55357,0.27206,1.83292,1.47755,1.58033,0.003416,0.003416,0.003416
66,126.27,1.56726,1.21791,1.40179,0.60885,0.5,0.55357,0.27206,1.83292,1.47755,1.58033,0.00339125,0.00339125,0.00339125
67,127.708,1.53301,1.16462,1.35833,0.64881,0.5,0.59052,0.29148,1.76882,1.43142,1.53788,0.0033665,0.0033665,0.0033665
68,129.261,1.54562,1.1426,1.3273,0.75387,0.48421,0.62291,0.31845,1.74044,1.37869,1.52042,0.00334175,0.00334175,0.00334175
69,130.913,1.51721,1.18346,1.37377,0.75387,0.48421,0.62291,0.31845,1.74044,1.37869,1.52042,0.003317,0.003317,0.003317
